Religious,Nature,Theatre,Shopping,Picnic,Sports,MN
77,79,69,68,95,2,Basketball
62,76,76,69,68,2,Basketball
50,97,87,50,75,2,Basketball
68,77,95,76,61,2,Basketball
98,54,59,95,86,2,Basketball
52,109,93,52,76,2,Basketball
64,85,82,73,69,2,Basketball
54,107,92,54,76,2,Basketball
64,108,64,54,93,2,Basketball
86,76,74,74,103,2,Basketball
107,54,64,103,94,2,Basketball
103,60,63,102,93,2,Basketball
64,82,82,75,69,2,Basketball
93,54,74,103,69,2,Basketball
63,82,81,78,69,2,Basketball
82,79,75,75,82,2,Basketball
59,131,103,54,86,2,Basketball
56,124,108,56,85,2,Basketball
85,67,111,65,72,2,Basketball
114,83,65,114,102,2,Basketball
93,82,79,79,90,2,Basketball
105,52,75,113,78,2,Basketball
69,118,74,66,101,2,Basketball
71,123,64,59,102,2,Basketball
88,94,81,79,91,4,Football
83,99,89,74,91,4,Football
69,133,74,54,101,4,Football
128,53,74,117,105,4,Football
74,123,69,61,101,4,Football
79,93,118,90,72,4,Football
51,115,110,51,84,4,Football
69,93,93,81,79,4,Football
100,53,86,112,78,4,Football
88,69,108,71,77,4,Football
93,84,75,84,112,4,Football
79,86,110,93,73,4,Football
87,72,112,63,71,4,Football
65,128,79,56,101,4,Football
91,66,110,69,71,4,Football
93,79,74,92,90,4,Football
59,118,108,63,85,5,Cricket
65,103,90,80,79,5,Cricket
87,89,76,89,111,5,Cricket
93,85,79,85,91,5,Cricket
93,94,79,79,113,5,Cricket
74,130,74,53,101,5,Cricket
118,59,69,119,97,5,Cricket
101,61,76,113,78,5,Cricket
88,99,79,83,114,5,Cricket
74,87,87,79,79,5,Cricket
148,59,104,208,119,5,Cricket
93,89,74,89,93,5,Cricket
79,103,68,103,85,5,Cricket
76,92,111,90,71,5,Cricket
94,140,89,118,92,5,Cricket
108,109,89,89,143,5,Cricket
98,89,133,79,79,5,Cricket
84,118,102,94,90,5,Cricket
138,74,79,143,118,5,Cricket
74,109,103,89,88,5,Cricket
118,104,94,94,118,5,Cricket
94,128,89,128,99,5,Cricket
64,155,118,64,97,5,Cricket
84,108,138,103,79,5,Cricket
108,109,94,99,138,5,Cricket
89,108,128,116,81,5,Cricket
103,79,148,74,79,5,Cricket
103,109,99,89,108,5,Cricket
