Continent,Remote connection: Average WiFi speed (Mbps per second),Co-working spaces: Number of co-working spaces,Caffeine: Average price of buying a coffee,Travel: Average price of taxi (per km),After-work drinks: Average price for 2 beers in a bar,Accommodation: Average price of 1 bedroom apartment per month,"Food: Average cost of a meal at a local, mid-level restaurant",Climate: Average number of sunshine hours
2,10,22,1.61,0.72,1.44,594.02,2.54,3156
2,8,27,1.69,0.72,1.08,338.05,2.15,3197
2,9,3,1.25,0.54,1.26,203.43,1.43,3519
2,2,69,3.22,0.26,2.22,780.74,3.62,2671
2,2,119,2.94,0.32,2.22,959.42,3.33,1776
2,16,4,3.32,0.22,1.1,234.49,2.22,3406
2,78,183,3.5,0.79,10.12,1581.43,5.56,1836
2,23,152,1.57,0.22,3.28,419.64,2.9,2584
2,12,165,1.42,0.19,2.9,179.25,2.9,2685
2,14,104,1.74,0.22,3.98,338.45,1.99,3252
2,14,28,3.02,0.88,13.28,1148.13,14.38,3311
2,29,9,3.05,1.19,4.76,612.23,5.21,1775
2,26,47,2.33,2.61,2.93,621.08,5.21,1996
2,32,163,2.65,2.75,6.54,1011.57,6.55,1881
2,7,4,3.56,1.38,4.78,643.09,4.79,3940
2,5,3,1.64,1.43,1.64,366.07,2.51,3250
2,4,18,6.1,1.02,9.5,735.51,19.1,3534
2,17,103,1.94,0.52,5.16,327.98,2.58,2774
2,7,10,1.13,0.48,3.62,105.54,1.66,2529
2,9,3,0.83,0.45,3.62,83.02,1.36,2573
2,8,7,3.47,0.51,14.96,448.11,4.67,3493
2,8,29,1.77,0.19,2.44,493.79,2.87,2103
2,12,13,3.39,0.4,17.8,1119.45,5.93,3897
2,17,47,1.7,0.15,4.06,643.35,7.56,1901
2,21,4,2.41,1,5.74,995.39,8.96,1636
2,93,117,2.95,0.48,9.54,1455.77,7.28,2022
2,25,74,2.98,0.55,4.68,642.77,5,2066
2,9,24,1.56,0.18,2.46,313.09,1.45,3007
2,19,60,2.34,0.64,3.08,521.57,3.08,1405
2,28,117,1.56,0.82,3.08,415.18,1.54,2624
2,26,25,1.32,0.33,3.52,302.09,1.54,2512
2,23,11,1.73,0.76,3.92,301.08,2.72,3450
2,9,32,3.48,0.39,15.68,891.43,5.88,3509
2,15,115,3.66,0.43,17.64,1069.88,6.86,3885
2,14,59,1.2,0.38,1.26,247.44,1.25,1585
2,13,92,1.36,0.47,1.32,404.46,1.57,2489
2,12,1,1.03,0.47,1.5,160.86,1.33,2786
4,30,7,2.68,1.65,6.64,655.73,10.64,1697
4,42,91,2.82,1.21,6.82,755,9.37,1930
4,23,5,1.09,0.15,2.24,293.95,5.59,1780
4,37,66,2.6,1.66,6.84,724.37,12.81,1546
4,30,53,1.13,0.35,2.56,313.59,5.23,2177
4,19,0,2.52,1.19,9.12,578.51,11.95,3322
4,19,0,1.57,0.85,8.54,179.32,12.81,3535
4,20,6,1.36,1.13,4.54,360.39,7.94,2631
4,25,12,1.3,0.57,3.4,407.66,5.67,1913
4,36,38,1.9,0.93,3.68,595.32,5.01,1668
4,46,26,4.46,1.38,11.48,1178.93,14.92,1803
4,37,14,2.43,0.51,6.82,466.5,8.52,1923
4,36,22,3.38,0.85,10.24,860.76,11.1,1858
