Religious,Nature,Theatre,Shopping,Picnic,Sports
77,79,69,68,95,2
62,76,76,69,68,2
50,97,87,50,75,2
68,77,95,76,61,2
98,54,59,95,86,2
52,109,93,52,76,2
64,85,82,73,69,2
54,107,92,54,76,2
64,108,64,54,93,2
86,76,74,74,103,2
107,54,64,103,94,2
103,60,63,102,93,2
64,82,82,75,69,2
93,54,74,103,69,2
63,82,81,78,69,2
82,79,75,75,82,2
59,131,103,54,86,2
56,124,108,56,85,2
85,67,111,65,72,2
114,83,65,114,102,2
93,82,79,79,90,2
105,52,75,113,78,2
69,118,74,66,101,2
71,123,64,59,102,2
88,94,81,79,91,2
83,99,89,74,91,2
69,133,74,54,101,2
128,53,74,117,105,2
74,123,69,61,101,2
79,93,118,90,72,2
51,115,110,51,84,2
69,93,93,81,79,2
100,53,86,112,78,2
88,69,108,71,77,2
93,84,75,84,112,2
79,86,110,93,73,2
87,72,112,63,71,2
65,128,79,56,101,2
91,66,110,69,71,2
93,79,74,92,90,2
59,118,108,63,85,2
65,103,90,80,79,2
87,89,76,89,111,2
93,85,79,85,91,2
93,94,79,79,113,2
74,130,74,53,101,2
118,59,69,119,97,2
101,61,76,113,78,2
88,99,79,83,114,2
74,87,87,79,79,2
148,59,104,208,119,2
93,89,74,89,93,2
79,103,68,103,85,2
76,92,111,90,71,2
94,140,89,118,92,2
108,109,89,89,143,2
98,89,133,79,79,2
84,118,102,94,90,2
138,74,79,143,118,2
74,109,103,89,88,2
118,104,94,94,118,2
94,128,89,128,99,2
64,155,118,64,97,2
84,108,138,103,79,2
108,109,94,99,138,2
89,108,128,116,81,2
103,79,148,74,79,4
103,109,99,89,108,4
108,99,94,94,138,4
108,109,104,79,133,4
138,59,84,138,128,4
79,143,113,69,109,4
84,153,79,64,113,4
74,148,118,64,104,4
74,153,118,59,99,4
118,64,101,133,92,4
69,153,113,59,99,4
123,68,89,128,90,4
99,104,128,64,78,4
124,59,84,143,88,4
84,131,128,93,81,4
113,64,89,141,86,4
118,64,99,134,88,4
89,143,84,64,118,4
98,89,133,69,79,4
98,104,109,91,101,4
84,143,74,74,133,4
123,64,93,148,90,4
84,113,141,98,81,4
59,148,125,59,97,4
143,69,79,143,123,4
94,133,84,125,97,4
84,108,113,93,90,4
84,138,89,69,123,4
84,108,133,98,81,4
99,84,138,69,83,4
113,94,84,109,128,4
148,64,74,138,128,4
84,138,113,64,114,4
98,79,138,79,79,4
133,84,84,133,118,4
132,149,139,119,144,4
104,193,114,99,173,4
99,183,128,114,129,4
178,89,154,198,183,4
114,243,104,79,173,4
133,183,114,183,140,5
148,149,154,149,148,5
114,213,129,94,178,5
188,124,114,183,188,5
153,159,129,139,218,5
114,153,178,138,124,5
184,84,129,233,133,5
84,193,188,80,138,5
178,129,104,183,163,5
114,163,163,148,124,5
132,94,178,109,120,5
93,183,178,89,140,5
137,104,173,109,130,5
153,74,114,188,129,5
128,114,168,124,124,5
114,228,119,99,168,5
178,89,114,203,139,5
173,84,99,193,158,5
168,89,124,183,129,5
83,198,163,84,140,5
144,173,134,173,149,5
198,64,89,203,153,5
114,208,114,119,168,5
114,183,114,109,178,5
114,173,183,128,124,5
128,134,188,89,124,5
143,154,129,129,178,5
128,163,173,133,130,5
148,99,139,168,129,5
83,218,163,74,140,5
120,168,158,144,133,5
203,99,104,223,173,5
143,139,119,139,203,5
153,144,139,144,193,5
147,144,129,149,144,5
188,74,109,213,168,5
158,154,154,154,153,5
104,208,168,134,144,5
139,153,193,158,134,5
84,247,168,109,140,5
173,89,124,233,158,5
93,119,99,89,138,5
124,168,208,148,124,5
114,158,178,158,124,5
188,94,94,223,153,5
114,238,124,104,178,5
94,188,148,99,139,5
129,318,94,89,188,5
139,148,129,129,168,5
114,228,104,84,168,5
124,178,104,158,174,5
133,149,139,144,213,5
143,149,139,159,143,5
