Religious,No. of hours,Theatre,Shopping,sports,class
96.096,4.128,95.064,60.64,50.16,2
96.12,4.16,95.08,60.8,50.2,3
96.12,4.16,95.08,60.8,50.2,3
96.672,4.896,95.448,64.48,51.12,4
96.96,5.28,95.64,66.4,51.6,0
97.104,5.472,95.736,67.36,51.84,3
97.608,6.144,96.072,70.72,52.68,3
97.968,6.624,96.312,73.12,53.28,2
90.55,6.78,85.88,101.34,77.23,1
90.55,6.78,85.88,101.34,77.23,1
98.088,6.784,96.392,73.92,53.48,2
98.208,6.944,96.472,74.72,53.68,3
98.472,7.296,96.648,76.48,54.12,0
98.568,7.424,96.712,77.12,54.28,2
98.76,7.68,96.84,78.4,54.6,3
98.952,7.936,96.968,79.68,54.92,3
94.048,8.048,92.072,80.12,55.12,3
94.096,8.096,92.144,80.24,55.24,3
94.112,8.112,92.168,80.28,55.28,0
94.112,8.112,92.168,80.28,55.28,0
94.128,8.128,92.192,80.32,55.32,0
94.128,8.128,92.192,80.32,55.32,0
94.192,8.192,92.288,80.48,55.48,1
94.32,8.32,92.48,80.8,55.8,4
94.32,8.32,92.48,80.8,55.8,4
91.45,8.45,85.99,85.34,65.34,4
92.45,8.45,90.77,104.23,72.34,0
91.45,8.45,85.99,85.34,65.34,4
92.45,8.45,90.77,104.23,72.34,0
94.48,8.48,92.72,81.2,56.2,2
94.48,8.48,92.72,81.2,56.2,2
94.704,8.704,93.056,81.76,56.76,0
94.704,8.704,93.056,81.76,56.76,0
94.72,8.72,93.08,81.8,56.8,0
94.736,8.736,93.104,81.84,56.84,1
94.784,8.784,93.176,81.96,56.96,1
94.784,8.784,93.176,81.96,56.96,1
94.976,8.976,93.464,82.44,57.44,2
94.976,8.976,93.464,82.44,57.44,2
95.67,9.11,91.89,94.99,80.99,2
95.67,9.11,91.89,94.99,80.99,2
95.216,9.216,93.824,83.04,58.04,4
95.296,9.296,93.944,83.24,58.24,4
95.66,9.34,87.84,86.78,56.98,2
95.66,9.34,87.84,86.78,56.98,2
95.344,9.344,94.016,83.36,58.36,4
93.45,9.44,91.56,96.34,69.45,1
93.45,9.44,91.56,96.34,69.45,1
95.536,9.536,94.304,83.84,58.84,3
95.696,9.696,94.544,84.24,59.24,3
99.34,9.98,94.34,97.23,82.34,0
99.34,9.98,94.34,97.23,82.34,0
92,10,90,85,60,2
92.048,10.048,90.048,85.24,60.12,1
92.096,10.096,90.096,85.48,60.24,1
92.144,10.144,90.144,85.72,60.36,3
92.144,10.144,90.144,85.72,60.36,3
