Sports,Religious,Nature,Theatre,Shopping,Picnic,Climate
2,77,79,69,68,95,28
2,62,76,76,69,68,12
2,50,97,87,50,75,33
2,68,77,95,76,61,37
2,98,54,59,95,86,17
2,52,109,93,52,76,37
2,64,85,82,73,69,23
2,54,107,92,54,76,13
2,64,108,64,54,93,54
2,86,76,74,74,103,23
2,107,54,64,103,94,26
2,103,60,63,102,93,32
2,64,82,82,75,69,14
2,93,54,74,103,69,17
2,63,82,81,78,69,10
2,82,79,75,75,82,30
2,59,131,103,54,86,20
2,56,124,108,56,85,14
2,85,67,111,65,72,37
2,114,83,65,114,102,17
2,93,82,79,79,90,13
2,105,52,75,113,78,93
2,69,118,74,66,101,34
2,71,123,64,59,102,36
2,88,94,81,79,91,12
2,83,99,89,74,91,9
2,69,133,74,54,101,29
2,128,53,74,117,105,30
2,74,123,69,61,101,33
2,79,93,118,90,72,58
2,51,115,110,51,84,17
2,69,93,93,81,79,12
2,100,53,86,112,78,78
2,88,69,108,71,77,9
2,93,84,75,84,112,25
2,79,86,110,93,73,47
2,87,72,112,63,71,11
2,65,128,79,56,101,75
2,91,66,110,69,71,33
2,93,79,74,92,90,74
2,59,118,108,63,85,32
2,65,103,90,80,79,42
2,87,89,76,89,111,8
2,93,85,79,85,91,42
2,93,94,79,79,113,37
2,74,130,74,53,101,9
2,118,59,69,119,97,26
2,101,61,76,113,78,15
2,88,99,79,83,114,7
2,74,87,87,79,79,60
2,148,59,104,208,119,28
2,93,89,74,89,93,40
2,79,103,68,103,85,28
2,76,92,111,90,71,12
2,94,140,89,118,92,21
2,108,109,89,89,143,19
2,98,89,133,79,79,17
2,84,118,102,94,90,70
2,138,74,79,143,118,26
2,74,109,103,89,88,12
2,118,104,94,94,118,8
2,94,128,89,128,99,2
2,64,155,118,64,97,44
2,84,108,138,103,79,16
2,108,109,94,99,138,27
2,89,108,128,116,81,23
2,103,79,148,74,79,23
2,103,109,99,89,108,11
2,108,99,94,94,138,30
2,108,109,104,79,133,26
2,138,59,84,138,128,61
2,79,143,113,69,109,12
2,84,153,79,64,113,18
2,74,148,118,64,104,16
2,74,153,118,59,99,26
2,118,64,101,133,92,45
2,69,153,113,59,99,68
2,123,68,89,128,90,37
2,99,104,128,64,78,25
2,124,59,84,143,88,16
2,84,131,128,93,81,10
2,113,64,89,141,86,29
2,118,64,99,134,88,41
2,89,143,84,64,118,19
2,98,89,133,69,79,40
2,98,104,109,91,101,17
4,84,143,74,74,133,9
4,123,64,93,148,90,25
4,84,113,141,98,81,44
4,59,148,125,59,97,20
4,143,69,79,143,123,9
4,94,133,84,125,97,7
4,84,108,113,93,90,37
4,84,138,89,69,123,2
4,84,108,133,98,81,61
4,99,84,138,69,83,23
4,113,94,84,109,128,36
4,148,64,74,138,128,29
4,84,138,113,64,114,22
4,98,79,138,79,79,34
4,133,84,84,133,118,25
4,79,113,106,87,88,22
4,113,104,84,94,148,37
4,69,138,113,79,99,8
4,83,103,98,99,90,43
4,69,143,123,71,97,31
4,118,94,99,99,143,33
4,74,133,99,74,113,24
4,115,94,163,109,92,19
4,123,124,109,114,168,24
4,94,133,157,133,95,33
4,104,123,163,128,89,22
4,99,198,89,74,153,19
4,113,148,99,148,110,25
4,94,163,99,94,153,10
4,133,104,119,129,133,9
4,163,69,94,188,143,36
4,74,158,158,74,119,18
4,123,124,109,129,143,20
4,94,137,148,113,100,22
4,123,129,139,99,143,5
4,89,163,99,79,143,33
4,81,173,143,79,122,38
4,135,84,158,139,92,46
4,108,113,133,114,100,30
4,138,119,119,124,158,35
4,128,122,134,109,120,33
4,79,203,153,69,119,37
4,84,150,128,104,102,21
4,148,69,104,173,138,6
4,133,124,119,124,168,12
4,89,128,148,111,102,26
4,79,183,133,70,113,14
4,96,113,113,99,97,26
4,84,161,153,84,116,6
4,109,135,158,123,92,19
4,133,74,114,175,102,8
4,133,139,124,109,128,49
4,128,124,114,111,126,26
4,97,123,108,119,111,26
4,123,104,104,134,153,7
4,113,89,168,89,89,30
4,109,148,94,133,119,4
4,165,64,94,173,97,33
4,93,123,123,124,100,36
4,143,98,119,163,105,10
4,89,158,89,89,158,26
4,113,111,153,84,97,117
4,138,86,114,158,102,165
4,79,158,148,69,119,95
4,84,178,138,87,116,136
4,84,168,148,80,113,67
4,84,173,143,69,110,40
4,104,130,178,118,92,152
4,99,123,153,128,103,69
4,93,128,118,119,100,46
4,128,119,104,119,173,11
4,94,178,109,69,143,25
4,148,69,104,168,114,125
4,113,114,109,119,143,104
4,153,74,94,163,158,112
4,139,163,114,203,139,42
4,163,99,94,158,143,53
4,89,178,89,79,153,133
4,79,183,104,69,148,59
4,168,69,84,198,133,35
4,128,158,183,158,130,103
4,129,188,109,104,198,92
4,178,74,114,198,129,117
4,143,139,139,139,148,33
4,114,198,124,114,153,38
4,105,158,143,129,133,46
4,120,193,104,148,138,3
4,98,193,163,99,140,32
4,148,174,129,129,153,39
4,183,104,164,193,153,49
4,99,203,129,94,158,105
4,139,178,139,163,144,47
4,90,188,163,109,138,1
4,163,84,129,193,139,183
4,88,178,178,89,140,24
4,114,144,213,133,128,74
4,143,124,208,134,124,21
4,188,94,104,208,158,57
4,99,228,104,84,163,77
4,178,94,114,188,173,127
4,119,198,149,114,168,53
4,114,203,109,84,158,163
4,99,193,158,99,144,104
