RC,CW,TA,WD,GP,FA,Country
11.11,16.24,0.729,1.08,3.989,4.565,2
14.15,12.22,0.211,1.1,3.888,4.879,2
12.43,15.43,0.532,1.26,3.234,5.434,2
12.33,16.23,0.724,1.44,3.543,5.443,2
11.21,15.44,0.513,4.66,3.112,4.564,2
16.01,13.09,0.941,5.43,3.542,7.643,4
15.57,16.43,0.787,5.43,3.688,5.098,4
15.73,17.01,0.984,5.77,3.879,6.789,4
14.59,14.04,0.874,5.8,3.654,5.449,4
16.36,13.24,0.868,5.94,3.645,5.464,5
11.24,12.29,0.912,2.84,3.987,6.569,5
13.65,17.33,0.345,2.86,3.123,7.878,5
10.78,15.77,0.222,2.88,3.444,5.068,5
