RC,CW,TA,AB,GP,WD,FA,Country
11.11,16.24,0.729,5.654,3.989,1.08,4.565,2
14.15,12.22,0.777,5.633,3.888,1.1,4.879,2
12.43,15.43,0.876,5.888,3.234,1.26,5.434,2
12.33,16.23,0.724,5.643,3.543,1.44,5.443,2
11.21,15.44,0.874,5.123,3.112,4.66,4.564,2
16.01,13.09,0.941,5.443,3.542,5.43,7.643,4
15.57,16.43,0.787,5.984,3.688,5.43,5.098,4
15.73,17.01,0.984,6.234,3.879,5.77,6.789,4
14.59,14.04,0.874,6.444,3.654,5.8,5.449,4
16.36,13.24,0.868,6.312,3.645,5.94,5.464,5
11.24,12.29,0.912,6.478,3.987,2.84,6.569,5
13.65,17.33,0.884,6.543,3.123,2.86,7.878,5
10.78,15.77,0.843,6.876,3.444,2.88,5.068,5
