Sports,Religious,Nature,Theatre,Shopping,Picnic,Climate,NB
2,77,79,69,68,95,28,117
2,62,76,76,69,68,12,165
2,50,97,87,50,75,33,95
2,68,77,95,76,61,37,136
2,98,54,59,95,86,17,67
2,52,109,93,52,76,37,40
2,64,85,82,73,69,23,152
2,54,107,92,54,76,13,69
2,64,108,64,54,93,54,46
2,86,76,74,74,103,23,11
2,107,54,64,103,94,26,25
2,103,60,63,102,93,32,125
2,64,82,82,75,69,14,104
2,93,54,74,103,69,17,112
2,63,82,81,78,69,10,42
2,82,79,75,75,82,30,53
2,59,131,103,54,86,20,133
2,56,124,108,56,85,14,59
2,85,67,111,65,72,37,35
2,114,83,65,114,102,17,103
2,93,82,79,79,90,13,92
2,105,52,75,113,78,93,117
2,69,118,74,66,101,34,33
2,71,123,64,59,102,36,38
2,88,94,81,79,91,12,46
2,83,99,89,74,91,9,3
2,69,133,74,54,101,29,32
2,128,53,74,117,105,30,39
2,74,123,69,61,101,33,49
2,79,93,118,90,72,58,105
2,51,115,110,51,84,17,47
2,69,93,93,81,79,12,1
2,100,53,86,112,78,78,183
2,88,69,108,71,77,9,24
2,93,84,75,84,112,25,74
2,79,86,110,93,73,47,21
2,87,72,112,63,71,11,57
2,65,128,79,56,101,75,77
2,91,66,110,69,71,33,127
2,93,79,74,92,90,74,53
2,59,118,108,63,85,32,163
2,65,103,90,80,79,42,104
2,87,89,76,89,111,8,5
2,93,85,79,85,91,42,91
2,93,94,79,79,113,37,272
2,74,130,74,53,101,9,41
2,118,59,69,119,97,26,17
2,101,61,76,113,78,15,115
2,88,99,79,83,114,7,10
2,74,87,87,79,79,60,62
2,148,59,104,208,119,28,7
2,93,89,74,89,93,40,59
2,79,103,68,103,85,28,93
2,76,92,111,90,71,12,49
2,94,140,89,118,92,21,127
2,108,109,89,89,143,19,60
2,98,89,133,79,79,17,50
2,84,118,102,94,90,70,1
2,138,74,79,143,118,26,47
2,74,109,103,89,88,12,29
2,118,104,94,94,118,8,27
2,94,128,89,128,99,2,69
2,64,155,118,64,97,44,35
2,84,108,138,103,79,16,67
2,108,109,94,99,138,27,60
2,89,108,128,116,81,23,54
2,103,79,148,74,79,23,5
2,103,109,99,89,108,11,9
2,108,99,94,94,138,30,136
2,108,109,104,79,133,26,113
2,138,59,84,138,128,61,8
2,79,143,113,69,109,12,35
2,84,153,79,64,113,18,13
2,74,148,118,64,104,16,7
2,74,153,118,59,99,26,17
2,118,64,101,133,92,45,16
2,69,153,113,59,99,68,59
2,123,68,89,128,90,37,14
2,99,104,128,64,78,25,12
2,124,59,84,143,88,16,4
2,84,131,128,93,81,10,22
2,113,64,89,141,86,29,9
2,118,64,99,134,88,41,65
2,89,143,84,64,118,19,7
2,98,89,133,69,79,40,43
2,98,104,109,91,101,17,87
4,84,143,74,74,133,9,4
4,123,64,93,148,90,25,10
4,84,113,141,98,81,44,31
4,59,148,125,59,97,20,6
4,143,69,79,143,123,9,3
4,94,133,84,125,97,7,9
4,84,108,113,93,90,37,66
4,84,138,89,69,123,2,119
4,84,108,133,98,81,61,46
4,99,84,138,69,83,23,20
4,113,94,84,109,128,36,21
4,148,64,74,138,128,29,15
4,84,138,113,64,114,22,37
4,98,79,138,79,79,34,30
4,133,84,84,133,118,25,22
4,79,113,106,87,88,22,318
4,113,104,84,94,148,37,50
4,69,138,113,79,99,8,29
4,83,103,98,99,90,43,8
4,69,143,123,71,97,31,87
4,118,94,99,99,143,33,41
4,74,133,99,74,113,24,34
4,115,94,163,109,92,19,29
4,123,124,109,114,168,24,11
4,94,133,157,133,95,33,38
4,104,123,163,128,89,22,99
4,99,198,89,74,153,19,0
4,113,148,99,148,110,25,44
4,94,163,99,94,153,10,17
4,133,104,119,129,133,9,32
4,163,69,94,188,143,36,22
4,74,158,158,74,119,18,17
4,123,124,109,129,143,20,14
4,94,137,148,113,100,22,66
4,123,129,139,99,143,5,3
4,89,163,99,79,143,33,25
4,81,173,143,79,122,38,7
4,135,84,158,139,92,46,26
4,108,113,133,114,100,30,10
4,138,119,119,124,158,35,5
4,128,122,134,109,120,33,38
4,79,203,153,69,119,37,31
4,84,150,128,104,102,21,4
4,148,69,104,173,138,6,7
4,133,124,119,124,168,12,13
4,89,128,148,111,102,26,24
4,79,183,133,70,113,14,28
4,96,113,113,99,97,26,23
4,84,161,153,84,116,6,6
4,109,135,158,123,92,19,0
4,133,74,114,175,102,8,7
4,133,139,124,109,128,49,33
4,128,124,114,111,126,26,16
4,97,123,108,119,111,26,13
4,123,104,104,134,153,7,4
4,113,89,168,89,89,30,7
4,109,148,94,133,119,4,18
4,165,64,94,173,97,33,42
4,93,123,123,124,100,36,23
4,143,98,119,163,105,10,1
4,89,158,89,89,158,26,9
4,113,111,153,84,97,117,2262
4,138,86,114,158,102,165,2019
4,79,158,148,69,119,95,1969
4,84,178,138,87,116,136,2739
4,84,168,148,80,113,67,1660
4,84,173,143,69,110,40,1468
4,104,130,178,118,92,152,892
4,99,123,153,128,103,69,2088
4,93,128,118,119,100,46,726
4,128,119,104,119,173,11,1698
4,94,178,109,69,143,25,1181
4,148,69,104,168,114,125,1976
4,113,114,109,119,143,104,449
4,153,74,94,163,158,112,1267
4,139,163,114,203,139,42,1607
4,163,99,94,158,143,53,598
4,89,178,89,79,153,133,969
4,79,183,104,69,148,59,1948
4,168,69,84,198,133,35,999
4,128,158,183,158,130,103,665
4,129,188,109,104,198,92,1357
4,178,74,114,198,129,117,1561
4,143,139,139,139,148,33,535
4,114,198,124,114,153,38,2342
4,105,158,143,129,133,46,1469
4,120,193,104,148,138,3,1650
4,98,193,163,99,140,32,802
4,148,174,129,129,153,39,681
4,183,104,164,193,153,49,87
4,99,203,129,94,158,105,1375
4,139,178,139,163,144,47,4653
4,90,188,163,109,138,1,1176
4,163,84,129,193,139,183,1330
4,88,178,178,89,140,24,868
4,114,144,213,133,128,74,1166
4,143,124,208,134,124,21,1420
4,188,94,104,208,158,57,1041
4,99,228,104,84,163,77,1490
4,178,94,114,188,173,127,1894
4,119,198,149,114,168,53,1118
4,114,203,109,84,158,163,3416
4,99,193,158,99,144,104,1411
4,153,139,154,154,183,5,2107
4,162,94,144,198,135,91,1149
5,132,149,139,119,144,272,10269
5,104,193,114,99,173,41,546
5,99,183,128,114,129,17,525
5,178,89,154,198,183,115,1615
5,114,243,104,79,173,10,1723
5,133,183,114,183,140,62,589
5,148,149,154,149,148,7,932
5,114,213,129,94,178,59,762
5,188,124,114,183,188,93,1343
5,153,159,129,139,218,49,390
5,114,153,178,138,124,127,1242
5,184,84,129,233,133,60,1031
5,84,193,188,80,138,50,3444
5,178,129,104,183,163,1,167
5,114,163,163,148,124,47,790
5,132,94,178,109,120,29,1149
5,93,183,178,89,140,27,522
5,137,104,173,109,130,69,1408
5,153,74,114,188,129,35,389
5,128,114,168,124,124,67,855
5,114,228,119,99,168,60,793
5,178,89,114,203,139,54,829
5,173,84,99,193,158,5,352
5,168,89,124,183,129,9,504
5,83,198,163,84,140,136,4265
5,144,173,134,173,149,113,1048
5,198,64,89,203,153,8,422
5,114,208,114,119,168,35,493
5,114,183,114,109,178,13,1377
5,114,173,183,128,124,7,294
5,128,134,188,89,124,17,1050
5,143,154,129,129,178,16,1016
5,128,163,173,133,130,59,778
5,148,99,139,168,129,14,490
5,83,218,163,74,140,12,520
5,120,168,158,144,133,4,242
5,203,99,104,223,173,22,478
5,143,139,119,139,203,9,1533
5,153,144,139,144,193,65,688
5,147,144,129,149,144,7,1045
5,188,74,109,213,168,43,729
5,158,154,154,154,153,87,1543
5,104,208,168,134,144,4,211
5,139,153,193,158,134,10,326
5,84,247,168,109,140,31,741
5,173,89,124,233,158,6,550
5,93,119,99,89,138,3,344
5,124,168,208,148,124,9,912
5,114,158,178,158,124,66,747
5,188,94,94,223,153,119,975
5,114,238,124,104,178,46,1243
5,94,188,148,99,139,20,540
5,129,318,94,89,188,21,502
5,139,148,129,129,168,15,446
5,114,228,104,84,168,37,45
5,124,178,104,158,174,30,65
5,133,149,139,144,213,22,22
5,143,149,139,159,143,318,54
