Continent,Remote connection: Average WiFi speed (Mbps per second),Co-working spaces: Number of co-working spaces,Caffeine: Average price of buying a coffee,Travel: Average price of taxi (per km),After-work drinks: Average price for 2 beers in a bar,Accommodation: Average price of 1 bedroom apartment per month,"Food: Average cost of a meal at a local, mid-level restaurant",Climate: Average number of sunshine hours,Instagramability: Number of photos with #
2,10,22,1.61,0.72,1.44,594.02,2.54,3156,28386616
2,8,27,1.69,0.72,1.08,338.05,2.15,3197,28528249
2,9,3,1.25,0.54,1.26,203.43,1.43,3519,10205538
2,2,69,3.22,0.26,2.22,780.74,3.62,2671,62894055
2,2,119,2.94,0.32,2.22,959.42,3.33,1776,21293975
2,16,4,3.32,0.22,1.1,234.49,2.22,3406,14267880
2,78,183,3.5,0.79,10.12,1581.43,5.56,1836,47201552
2,23,152,1.57,0.22,3.28,419.64,2.9,2584,116213193
2,12,165,1.42,0.19,2.9,179.25,2.9,2685,3376251
2,14,104,1.74,0.22,3.98,338.45,1.99,3252,10190220
2,14,28,3.02,0.88,13.28,1148.13,14.38,3311,6428544
2,29,9,3.05,1.19,4.76,612.23,5.21,1775,44165754
2,26,47,2.33,2.61,2.93,621.08,5.21,1996,75735133
2,32,163,2.65,2.75,6.54,1011.57,6.55,1881,32178314
2,7,4,3.56,1.38,4.78,643.09,4.79,3940,43041426
2,5,3,1.64,1.43,1.64,366.07,2.51,3250,4197864
2,4,18,6.1,1.02,9.5,735.51,19.1,3534,6810938
2,17,103,1.94,0.52,5.16,327.98,2.58,2774,7438755
2,7,10,1.13,0.48,3.62,105.54,1.66,2529,5787290
2,9,3,0.83,0.45,3.62,83.02,1.36,2573,15148859
2,8,7,3.47,0.51,14.96,448.11,4.67,3493,1636058
2,8,29,1.77,0.19,2.44,493.79,2.87,2103,41453533
2,12,13,3.39,0.4,17.8,1119.45,5.93,3897,4424079
2,17,47,1.7,0.15,4.06,643.35,7.56,1901,17540484
2,21,4,2.41,1,5.74,995.39,8.96,1636,12323779
2,93,117,2.95,0.48,9.54,1455.77,7.28,2022,2293814
2,25,74,2.98,0.55,4.68,642.77,5,2066,9726729
2,9,24,1.56,0.18,2.46,313.09,1.45,3007,23385115
2,19,60,2.34,0.64,3.08,521.57,3.08,1405,6800366
2,28,117,1.56,0.82,3.08,415.18,1.54,2624,75436810
2,26,25,1.32,0.33,3.52,302.09,1.54,2512,58201864
2,23,11,1.73,0.76,3.92,301.08,2.72,3450,2115317
2,9,32,3.48,0.39,15.68,891.43,5.88,3509,39815830
2,15,115,3.66,0.43,17.64,1069.88,6.86,3885,2575173
2,14,59,1.2,0.38,1.26,247.44,1.25,1585,20380943
2,13,92,1.36,0.47,1.32,404.46,1.57,2489,40524360
2,12,1,1.03,0.47,1.5,160.86,1.33,2786,19690250
4,30,7,2.68,1.65,6.64,655.73,10.64,1697,30781286
4,42,91,2.82,1.21,6.82,755,9.37,1930,48461817
4,23,5,1.09,0.15,2.24,293.95,5.59,1780,29887093
4,37,66,2.6,1.66,6.84,724.37,12.81,1546,56623159
4,30,53,1.13,0.35,2.56,313.59,5.23,2177,51603607
4,19,0,2.52,1.19,9.12,578.51,11.95,3322,8671948
4,19,0,1.57,0.85,8.54,179.32,12.81,3535,14453386
4,20,6,1.36,1.13,4.54,360.39,7.94,2631,113711319
4,25,12,1.3,0.57,3.4,407.66,5.67,1913,30904265
4,36,38,1.9,0.93,3.68,595.32,5.01,1668,6992731
4,46,26,4.46,1.38,11.48,1178.93,14.92,1803,110962610
4,37,14,2.43,0.51,6.82,466.5,8.52,1923,1684647
4,36,22,3.38,0.85,10.24,860.76,11.1,1858,27197101
4,20,14,2.67,1.42,10.24,601.71,11.1,2713,1755465
4,36,21,2.65,1.51,5.24,596.38,10.89,2002,80497499
4,24,11,2.29,1.29,10.24,514.68,11.1,2858,33859310
4,30,136,3.17,1.28,10.64,1054.23,12.77,1662,2999098
4,33,127,2.49,1.71,4.98,810.65,8.54,1626,33945108
4,33,38,2.34,1.71,6.84,711.6,8.11,1504,14321522
4,35,5,2.04,1.87,5.94,447.61,8.49,1581,27665299
4,25,44,2.59,1.88,6.84,685.86,8.54,2359,1705160
4,22,66,2.49,1.71,6.84,894.56,8.54,1586,16057725
4,41,65,2.46,1.63,7.26,809.13,10.25,1557,10176728
4,38,7,2.26,1.71,5.98,526.02,8.54,1501,1196625
4,31,87,2.7,1.71,6.84,1115.58,11.95,1709,7286155
4,33,25,2.51,1.45,6.82,800.83,10.22,1692,9833747
4,12,29,2.42,0.64,6.84,348.38,8.54,2773,10148526
4,37,40,1.2,0.72,2.4,366.66,4.81,1988,18833685
4,26,9,3.36,2.03,13.88,1170.6,14.46,1326,11966096
4,61,46,2.88,1.28,9.4,1437.05,12.81,1453,11083815
4,18,13,1.12,0.85,8.54,650.53,12.81,2924,18939652
4,17,87,1.38,1.15,8.24,927.31,12.81,1915,130025724
4,19,7,1.18,0.87,5.12,550.03,8.54,2375,50157783
4,17,50,1.07,1.02,8.52,822.9,12.77,2473,1737701
4,23,20,2.2,0.6,5.1,376.53,6.81,1754,8411766
4,25,22,2.03,0.51,5.46,445.99,6.81,1691,10392587
