Eccentricity,Solidity,Extent,Roundness,Aspect_Ration,Compactness,class
0.7376,0.9902,0.7453,0.8963,1.4809,0.8207,0
0.8275,0.9916,0.7151,0.844,1.7811,0.7487,0
0.8749,0.9857,0.74,0.7674,2.0651,0.6929,0
0.8123,0.9902,0.7396,0.8486,1.7146,0.7624,0
0.8187,0.985,0.6752,0.8338,1.7413,0.7557,0
0.8215,0.9895,0.7165,0.848,1.7535,0.7522,0
0.7938,0.9929,0.7187,0.8857,1.6443,0.779,0
0.8646,0.9894,0.6736,0.7957,1.9903,0.7067,0
0.8573,0.9886,0.6188,0.793,1.9423,0.7152,0
0.8356,0.9916,0.7443,0.8409,1.8201,0.7394,0
0.8327,0.9917,0.7019,0.844,1.8057,0.7431,0
0.8356,0.9898,0.7457,0.832,1.8205,0.7391,0
0.9011,0.9888,0.6,0.7461,2.3061,0.6566,0
0.8144,0.9913,0.7285,0.8503,1.7231,0.759,0
0.8449,0.9908,0.7377,0.8274,1.8695,0.7304,0
0.838,0.9878,0.7124,0.8357,1.8328,0.7365,0
0.8221,0.99,0.7391,0.8455,1.7565,0.7515,0
0.8429,0.9886,0.6728,0.8307,1.8585,0.7323,0
0.8523,0.9934,0.7692,0.844,1.9117,0.7225,0
0.8439,0.9885,0.7403,0.8331,1.8638,0.7313,0
0.8621,0.9872,0.7469,0.8098,1.9735,0.7104,0
0.8748,0.9904,0.6702,0.7933,2.0643,0.6939,0
0.782,0.9923,0.7237,0.8903,1.6045,0.7884,0
0.8167,0.9923,0.7386,0.8595,1.7328,0.759,0
0.8522,0.9906,0.6526,0.827,1.9115,0.7216,0
0.8176,0.9884,0.6779,0.8497,1.7366,0.7558,0
0.8179,0.9915,0.6861,0.8458,1.738,0.7572,0
0.8064,0.9913,0.7156,0.8761,1.6909,0.7682,0
0.8037,0.9908,0.675,0.8626,1.6806,0.7673,0
0.8166,0.9903,0.7407,0.863,1.7326,0.759,0
0.8189,0.9915,0.6746,0.8636,1.7423,0.7567,0
0.8504,0.9882,0.6923,0.8118,1.9006,0.7237,0
0.8087,0.9874,0.7381,0.8536,1.6999,0.7654,0
0.8095,0.9915,0.7542,0.8716,1.7032,0.7637,0
0.832,0.9917,0.7537,0.8459,1.8024,0.744,0
0.8085,0.9881,0.696,0.844,1.6991,0.7649,0
0.8238,0.9871,0.6765,0.8414,1.7642,0.7516,0
0.7967,0.9905,0.7201,0.8608,1.6545,0.7753,0
0.7709,0.9917,0.7169,0.8894,1.5701,0.7972,0
0.8737,0.9882,0.7354,0.781,2.0556,0.6961,0
0.8702,0.9907,0.7514,0.8047,2.0297,0.701,0
0.8624,0.9898,0.7419,0.8117,1.9751,0.7092,0
0.854,0.9891,0.6624,0.8022,1.9218,0.7202,0
0.8337,0.983,0.6303,0.7986,1.8107,0.7393,0
0.7701,0.9912,0.7266,0.8743,1.5675,0.797,0
0.8752,0.99,0.6644,0.786,2.0674,0.694,0
0.7703,0.9878,0.7015,0.859,1.5681,0.7977,0
0.8003,0.9857,0.7191,0.845,1.6677,0.772,0
0.7611,0.976,0.6867,0.7924,1.5416,0.7943,0
0.771,0.9924,0.7359,0.8754,1.5703,0.7959,0
0.8,0.9911,0.694,0.86,1.6666,0.7734,0
0.8287,0.9912,0.7106,0.8415,1.7868,0.7472,0
0.7948,0.9889,0.7558,0.8492,1.648,0.7766,0
0.8576,0.9911,0.6277,0.8045,1.9444,0.7165,0
0.8411,0.988,0.7412,0.8241,1.8486,0.7338,0
0.8499,0.9875,0.7426,0.7971,1.8975,0.7222,0
0.826,0.9888,0.7095,0.8265,1.774,0.7492,0
0.8537,0.992,0.7602,0.8255,1.9205,0.721,0
0.8405,0.9924,0.7467,0.8419,1.8454,0.7346,0
0.8477,0.9912,0.7685,0.8294,1.885,0.7272,0
0.8262,0.9939,0.7391,0.8547,1.7749,0.749,0
0.8038,0.9879,0.7314,0.8575,1.6811,0.7694,0
0.8238,0.9913,0.6994,0.8359,1.7641,0.7518,0
0.8514,0.989,0.7373,0.8041,1.9064,0.7228,0
0.8393,0.9908,0.7306,0.835,1.8392,0.7359,0
0.8627,0.9907,0.6531,0.8114,1.9772,0.7099,0
0.841,0.9884,0.7392,0.8344,1.8483,0.7337,0
0.8264,0.9896,0.7067,0.8477,1.7762,0.7483,0
0.8575,0.9892,0.6679,0.8045,1.9435,0.7162,0
0.8763,0.9905,0.6162,0.7872,2.0755,0.6926,0
0.8694,0.9877,0.7199,0.7875,2.0237,0.7005,0
0.7828,0.9908,0.703,0.8805,1.6069,0.7868,0
0.8734,0.9911,0.7319,0.797,2.0532,0.6972,0
0.8073,0.9886,0.7031,0.8552,1.6946,0.766,0
0.8217,0.9884,0.6704,0.8367,1.7545,0.7513,0
0.8641,0.9869,0.6568,0.797,1.987,0.7076,0
0.8766,0.9862,0.6623,0.7782,2.0783,0.6921,0
0.8758,0.9897,0.7126,0.7908,2.0722,0.6924,0
0.8387,0.993,0.7121,0.8481,1.8362,0.7369,0
0.8702,0.9876,0.7462,0.7981,2.0295,0.7008,0
0.8206,0.9829,0.6928,0.8182,1.7496,0.753,0
0.8465,0.9928,0.7461,0.8386,1.8781,0.7289,0
0.7688,0.9906,0.7619,0.8757,1.5638,0.7982,0
0.8185,0.9915,0.7364,0.8497,1.7407,0.7563,0
0.8668,0.9881,0.7227,0.8103,2.0053,0.7025,0
0.832,0.9921,0.699,0.8395,1.8024,0.7436,0
0.7831,0.9874,0.7354,0.8591,1.6081,0.786,0
0.8067,0.9919,0.7296,0.8586,1.6923,0.7676,0
0.7859,0.9894,0.7412,0.8737,1.6173,0.785,0
0.7857,0.9923,0.7564,0.8886,1.6166,0.7857,0
0.7889,0.9884,0.7057,0.8432,1.6274,0.7815,0
0.8395,0.9892,0.6954,0.8251,1.8407,0.7355,0
0.8681,0.988,0.6391,0.7857,2.0147,0.7018,0
0.8332,0.9888,0.7328,0.8283,1.8083,0.7417,0
0.8118,0.9875,0.6841,0.8375,1.7127,0.7622,0
0.7252,0.9937,0.7279,0.9221,1.4524,0.8289,0
0.8627,0.9867,0.6363,0.8085,1.9771,0.7098,0
0.8034,0.9925,0.7416,0.8815,1.6796,0.7703,0
0.8657,0.9849,0.7438,0.781,1.9976,0.706,0
0.8348,0.9919,0.7037,0.8383,1.8163,0.7406,0
0.8007,0.9915,0.7409,0.8652,1.6693,0.7723,0
0.8088,0.9892,0.7057,0.8514,1.7005,0.7659,0
0.8679,0.9905,0.6115,0.7978,2.0129,0.7041,0
0.827,0.9883,0.7036,0.8335,1.7785,0.746,0
0.8166,0.9881,0.6939,0.8501,1.7323,0.7572,0
0.7972,0.9926,0.735,0.8711,1.6565,0.7759,0
0.8426,0.9914,0.6878,0.8398,1.8566,0.7329,0
0.8231,0.9905,0.7488,0.8524,1.7611,0.7514,0
0.8067,0.9864,0.7445,0.8578,1.6923,0.7673,0
0.8757,0.9905,0.7115,0.7965,2.0713,0.694,0
0.856,0.9853,0.7445,0.6658,1.9344,0.7157,0
0.8504,0.9919,0.6978,0.8229,1.9009,0.7242,0
0.8443,0.9857,0.7332,0.7862,1.8659,0.7292,0
0.8568,0.9923,0.6843,0.8168,1.9396,0.717,0
0.8611,0.9919,0.6356,0.8189,1.9665,0.7123,0
0.8164,0.9895,0.7298,0.8568,1.7316,0.7583,0
0.8243,0.9904,0.7538,0.8593,1.7664,0.7514,0
0.8542,0.9902,0.7593,0.8275,1.9233,0.7198,0
0.8363,0.9911,0.7293,0.836,1.8238,0.7391,0
0.8605,0.9922,0.745,0.8177,1.963,0.7122,0
0.8255,0.9923,0.6771,0.8477,1.7716,0.751,0
0.8832,0.9878,0.6828,0.7727,2.1326,0.6824,0
0.8163,0.9859,0.7566,0.8321,1.7313,0.7564,0
0.8255,0.9908,0.7255,0.8512,1.772,0.7499,0
0.6903,0.9915,0.7755,0.9255,1.3822,0.8491,0
0.8848,0.9898,0.6135,0.7702,2.1464,0.6818,0
0.8105,0.9902,0.6962,0.8468,1.7071,0.7628,0
0.817,0.9906,0.7313,0.8523,1.7343,0.7577,0
0.8325,0.9869,0.6564,0.8319,1.8048,0.7414,0
0.8309,0.9902,0.6759,0.831,1.7973,0.7443,0
0.8387,0.9886,0.7236,0.8264,1.8362,0.7357,0
0.8595,0.9898,0.7019,0.807,1.9565,0.714,0
0.7993,0.9912,0.7036,0.8576,1.6641,0.7737,0
0.8488,0.9906,0.6569,0.8255,1.8913,0.7263,0
0.8297,0.9905,0.6804,0.8412,1.7915,0.7449,0
0.8339,0.9858,0.7292,0.7985,1.8117,0.7414,0
0.8511,0.9858,0.7332,0.7863,1.905,0.7233,0
0.7741,0.9872,0.7199,0.8486,1.5795,0.7944,0
0.806,0.9917,0.7519,0.8491,1.6893,0.7679,0
0.8635,0.9806,0.6162,0.743,1.9828,0.7079,0
0.8452,0.9874,0.6689,0.7803,1.8711,0.7289,0
0.8494,0.9908,0.6954,0.8135,1.8948,0.7257,0
0.8629,0.9898,0.7617,0.8043,1.9786,0.7093,0
0.8224,0.9916,0.7125,0.8371,1.7577,0.7537,0
0.7423,0.9882,0.7448,0.8728,1.4924,0.8164,0
0.8816,0.9909,0.7523,0.777,2.1188,0.6851,0
0.8762,0.9904,0.7786,0.7865,2.0752,0.6928,0
0.8318,0.9917,0.7502,0.8346,1.8018,0.7439,0
0.8448,0.992,0.6542,0.8305,1.8691,0.7301,0
